,product,price
180,"Oppo Reno4 Mo Salah Edition Dual Sim, 128GB, 4G LTE - Multi Color","5,900.00"
181,"Apple iPhone 6S Plus with FaceTime - 128GB, 4G LTE, Silver","5,900.00"
182,"Apple Iphone 7 With Facetime - 128 GB, 4G LTE, Gold, 2 GB Ram, Single Sim","6,999.00"
183,Nokia 130 Dual Sim - Black,460.00 EGP
184,"Apple iPhone 12 Pro Max 512GB 6 GB RAM Dual Sim, Pacific Blue","32,999.00"
185,"Xiaomi Redmi Note 10 Pro Dual SIM Mobile - 6.67 Inches, 6G RAM, 128 GB, 4G LTE - Gradient Bronze","4,888.00"
186,"Infinix HOT 10 Dual SIM Mobile - 6.78 Inches, 128 GB, 4 GB RAM, 4G - Amber Red ","2,360.00"
187,"Xiaomi Poco M3 Dual SIM Mobile - 6.53 inches, 128 GB, 4 GB RAM, 4G LTE - Power Black","3,099.00"
188,"Infinix Note 10 Dual SIM Mobile Phone - 6.95 inches, 6 GB RAM, 128 GB, 4G LTE - Black","3,099.00"
189,"Samsung Galaxy A8 Dual Sim - 64 GB, 4 GB Ram, 4G LTE, Gold, Sm-A530FzdgXSg","6,222.00"
190,"Samsung Galaxy A72 Dual SIM - 6.7 Inches, 8 GB RAM, 128 GB - Blue","6,710.00"
191,"Samsung Galaxy A31 Dual SIM - 6.4 Inch, 128 GB, 4 GB RAM, 4G LTE - White","3,299.00"
192,"Oppo A15 Dual SIM Mobile Phone, 6.52 Inch, 3 GB RAM, 32 GB , 4G LTE - White","2,335.00"
193,"Apple iPhone 11 Pro with FaceTime - 512GB, 4GB RAM, 4G LTE, Space Gray, Single SIM & E-SIM","19,900.00"
194,"Apple iPhone 6S with FaceTime - 64GB, 4G LTE, Silver","4,300.00"
195,HOPE K19 4 SIM CARDS PHONE NOT ONLY 3 IN 1 MOBILE - 20000MAH WITH LED LIGHT,549.94
196,"Nokia 105 Blue, Dual Sim, 105-2018",325.00 EGP
197,"Infinix Note 8i Dual SIM Mobile - 6.95 Inches, 128 GB, 6 GB RAM, 4G LTE - Tranquil Blue","2,900.00"
198,"Samsung Galaxy Note 10 Plus - 256GB, 12GB RAM, 5G, Blue","14,500.00"
199,"Apple iPhone 12 Pro Max 512GB 6 GB RAM Dual Sim, Gold","33,200.00"
200,"Samsung Galaxy S21 Ultra Dual SIM Mobile - 6.8 Inches, 256 GB, 12 GB RAM, 5G - Black","18,190.00"
201,"Redmi Note 10 Dual SIM - 6.43 Inches, 128 GB, 6 GB RAM, 4G LTE - Onyx Gray","4,250.00"
202,"Apple iPhone SE - 128GB, 3GB RAM, 4G LTE, Red - Single SIM and E-SIM","8,888.00"
203,"Xiaomi Redmi Note 9 Dual SIM Mobile - 6.53 Inch, 128 GB, 4 GB RAM, 4G LTE - Forest Green","3,199.00"
204,"Samsung Galaxy A52 Dual SIM - 6.5 inches, 8 GB RAM, 256 GB - Awesome Blue","6,199.00"
205,"Apple iPhone 11 with FaceTime - 128GB, 4GB RAM, 4G LTE, Purple, Single SIM & E-SIM","12,700.00"
206,"OnePlus 9R 5G Dual Sim 12GB RAM, 256GB Carbon Black","11,280.47"
207,"Xiaomi Poco M3 Dual SIM Mobile - 6.53 inches, 128 GB, 4 GB RAM, 4G LTE - Cool Blue","2,777.00"
208,"Samsung Galaxy A71 Dual SIM - 128GB, 8GB RAM, 4G LTE, Blue","5,959.00"
209,"Apple iPhone 12 Pro 128GB 6 GB RAM, Graphite","20,300.00"
210,"Realme 7i Dual Sim - 128 GB, 8 GB RAM, 4G LTE - Polar Blue","3,899.00"
211,Nokia 106 - 4 MB RAM - Gray,320.00
212,"Apple iPhone 11 with FaceTime Dual SIM - 128GB, 4GB RAM, 4G LTE, Purple","16,800.00"
213,"Samsung SM-B310E Dual Sim - 2G GSM, Black",699.00
214,"Honor 9X Lite Dual SIM - 128GB, 4GB RAM, 4G LTE - Emerald Green","2,949.00"
215,"Samsung Galaxy A80 Dual SIM - 128GB, 8GB RAM, 4G LTE, Ghost White","7,625.00"
216,"Xiaomi Mi 11 Lite Dual SIM Mobile - 6.55 inches, 128 GB, 6 GB RAM, 4G LTE - Bubblegum Blue with Xiaomi Mi True Wireless Earbuds Basic 2","4,855.00"
217,"Alcatel 1 5033F 2019 Dual SIM - 16GB, 1GB RAM, 4G LTE, Metallic Black",819.00
218,"Huawei Y9a Dual SIM - 128GB, 8GB RAM, 4G LTE - Space Silver","4,075.00"
219,"OPPO Reno 5 4G Dual SIM - 128GB, 8GB RAM, 4G LTE - Fantasy Silver","5,554.00"
220,"Redmi Note 10 5G Dual SIM - 6.5 Inches, 128 GB, 6 GB RAM - Graphite Gray","3,886.00"
221,"Samsung Galaxy Note 10 Lite Dual SIM - 128GB, 8GB RAM, 4G LTE, Aura Black","8,600.00"
222,"Huawei Y9a Dual SIM - 128GB, 8GB RAM, 4G LTE - Sakura Pink","4,295.00"
223,"Apple iPhone 12 Pro Max 256GB 6 GB RAM, Pacific Blue","21,333.00"
224,"Samsung Galaxy A02 Dual Sim Mobile, 6.5 Inches, 32 GB, 3 GB RAM, 4G LTE - Blue","1,730.00"
225,"Oppo A94 Dual SIM Mobile Phone - 6.43 inches, 128 GB, 8 GB RAM, 4G LTE - Fluid Black","4,990.00"
226,"HUAWEI Y8p Dual SIM - 128 GB, 6 GB RAM, 4G LTE - Midnight Black","3,149.00"
227,Mtouch Zero Dual SIM Mobile Phone - Black,210.00
228,"HTC Desire 650 - Dual SIM , 32 GB , 4G LTE , Lime Light","3,111.00"
229,"Redmi Note 9T Dual SIM - 6.53 Inches, 128GB, 4GB RAM - Daybreak Purple with Xiaomi Mi True Wireless Earbuds Basic 2","3,979.00"
230,Nokia 105 - 1.77-inch Dual SIM Mobile Phone - Blue,324.00
231,"Xiaomi Redmi Note 7 Dual Sim - 64 GB, 4 GB Ram, 4G LTE, Black ‚International Version","2,650.00"
232,"OPPO A54 Dual Sim Mobile Phone - 6.51 inch, 128 GB, 4 GB RAM, 4G LTE - Star Blue","3,590.00"
233,"Apple iPhone 12 Pro Max 256GB 6 GB RAM Dual Sim, Graphite","25,300.00"
234,"OPPO Reno 4 Dual SIM - 128GB, 8GB RAM, 4G LTE - Space Black","5,290.00"
235,"Infinix X612B Dual SIM Mobile Phone, 6.1 Inch Touch Screen, 2 GB RAM, 32 GB Storage, 4G LTE - Obsidian Black","2,775.00"
